Sample Name	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[collection environment]	Term Source REF	Term Accession Number	Parameter Value[storage environment]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Parameter Value[quantity of tissue]	Unit	Term Source REF	Term Accession Number	Parameter Value[sample volume]	Unit	Term Source REF	Term Accession Number	Extract Name	Characteristics[RNA concentration]	Unit	Term Source REF	Term Accession Number	Characteristics[RNA integrity number]	Term Source REF	Term Accession Number	Characteristics[260nm/280nm ratio]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[labeling kit lot number]	Term Source REF	Term Accession Number	Parameter Value[amount of cRNA]	Unit	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Characteristics[labeled RNA quality control]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[amount of labeled probe]	Unit	Term Source REF	Term Accession Number	Parameter Value[chip lot number]	Term Source REF	Term Accession Number	Parameter Value[chip expiration date]	Term Source REF	Term Accession Number	Parameter Value[staining lot number]	Term Source REF	Term Accession Number	Parameter Value[staining duration]	Unit	Term Source REF	Term Accession Number	Hybridization Assay Name	Array Design REF	Comment[array expression accession number]	Protocol REF	Parameter Value[scanner model]	Term Source REF	Term Accession Number	Parameter Value[scanner version]	Term Source REF	Term Accession Number	Parameter Value[scanner speed]	Term Source REF	Term Accession Number	Parameter Value[number of pixel per row]	Term Source REF	Term Accession Number	Date	Scan Name	Array Data File	Protocol REF	Normalization Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data File	Protocol REF	Data Transformation Name	Derived Array Data Matrix File	Factor Value[compound]	Term Source REF	Term Accession Number	Factor Value[dose]	Term Source REF	Term Accession Number	Factor Value[duration of exposure]	Unit	Term Source REF	Term Accession Number
FP001RO_A10_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A10_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1561	39.0904	ug	UO	23	7.5			2.11			labeling	567402			3	ug	UO	23	1561-biotin-labeled	biotin	CHEBI	15956	1.99			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22572bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6357			2006-07-04T00.00.00.0 UTC	d22572bm_1	transcriptome/d22572bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A12_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A12_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1562	28.1192	ug	UO	23	8			2.1			labeling	567402			3	ug	UO	23	1562-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22573bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6352			2006-07-04T00.00.00.0 UTC	d22573bm_1	transcriptome/d22573bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A14_S5	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A14_S5_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1563	19.7792	ug	UO	23	8.6			2.1			labeling	567402			3	ug	UO	23	1563-biotin-labeled	biotin	CHEBI	15956	1.9			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22574bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6412			2006-07-04T00.00.00.0 UTC	d22574bm_1	transcriptome/d22574bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A16_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A16_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1564	33.6816	ug	UO	23	8.5			2.1			labeling	567402			3	ug	UO	23	1564-biotin-labeled	biotin	CHEBI	15956	1.98			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22575bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6362			2006-07-04T00.00.00.0 UTC	d22575bm_1	transcriptome/d22575bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A18_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A18_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1565	31.2488	ug	UO	23	8.5			2.11			labeling	567402			3	ug	UO	23	1565-biotin-labeled	biotin	CHEBI	15956	1.89			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22576bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6371			2006-07-04T00.00.00.0 UTC	d22576bm_1	transcriptome/d22576bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A20_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A20_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1566	33.7	ug	UO	23	8			2.03			labeling	567402			3	ug	UO	23	1566-biotin-labeled	biotin	CHEBI	15956	1.93			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22577bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6388			2006-07-04T00.00.00.0 UTC	d22577bm_1	transcriptome/d22577bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A22_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A22_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1567	23.2564	ug	UO	23	8.8			2.09			labeling	567402			3	ug	UO	23	1567-biotin-labeled	biotin	CHEBI	15956	1.87			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22578bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6368			2006-07-04T00.00.00.0 UTC	d22578bm_1	transcriptome/d22578bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
FP001RO_A24_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A24_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1568	34.3436	ug	UO	23	8.5			2.1			labeling	567402			3	ug	UO	23	1568-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22579bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6366			2006-07-04T00.00.00.0 UTC	d22579bm_1	transcriptome/d22579bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
FP001RO_A26_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A26_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1569	16.7112	ug	UO	23	8.3			2.12			labeling	567402			3	ug	UO	23	1569-biotin-labeled	biotin	CHEBI	15956	1.92			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22580bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6362			2006-07-04T00.00.00.0 UTC	d22580bm_1	transcriptome/d22580bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			4	day	UO	33
FP001RO_A28_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A28_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1570	10.84	ug	UO	23	8.6			2.06			labeling	567402			3	ug	UO	23	1570-biotin-labeled	biotin	CHEBI	15956	1.96			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22581bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6352			2006-07-04T00.00.00.0 UTC	d22581bm_1	transcriptome/d22581bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			4	day	UO	33
FP001RO_A30_S6	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A30_S6_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1571	17.04	ug	UO	23	8.2			2.06			labeling	567402			3	ug	UO	23	1571-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22582bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6357			2006-07-04T00.00.00.0 UTC	d22582bm_1	transcriptome/d22582bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			4	day	UO	33
FP001RO_A32_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A32_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1572	20.4516	ug	UO	23	8.6			2.1			labeling	567402			3	ug	UO	23	1572-biotin-labeled	biotin	CHEBI	15956	1.91			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22583bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6359			2006-07-04T00.00.00.0 UTC	d22583bm_1	transcriptome/d22583bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			15	day	UO	33
FP001RO_A34_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A34_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1573	21.0324	ug	UO	23	8.7			2.1			labeling	567402			3	ug	UO	23	1573-biotin-labeled	biotin	CHEBI	15956	1.87			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22584bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6375			2006-07-04T00.00.00.0 UTC	d22584bm_1	transcriptome/d22584bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	vehicle			no dose			15	day	UO	33
FP001RO_A36_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A36_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1574	37.7444	ug	UO	23	8.5			2.1			labeling	567402			3	ug	UO	23	1574-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22585bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6370			2006-07-04T00.00.00.0 UTC	d22585bm_1	transcriptome/d22585bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			15	day	UO	33
FP001RO_A38_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A38_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1575	27.9428	ug	UO	23	8.5			2.11			labeling	567402			3	ug	UO	23	1575-biotin-labeled	biotin	CHEBI	15956	1.97			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22586bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6351			2006-07-04T00.00.00.0 UTC	d22586bm_1	transcriptome/d22586bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			15	day	UO	33
FP001RO_A40_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A40_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1576	33.118	ug	UO	23	8.4			2.1			labeling	567402			3	ug	UO	23	1576-biotin-labeled	biotin	CHEBI	15956	1.98			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22587bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6312			2006-07-04T00.00.00.0 UTC	d22587bm_1	transcriptome/d22587bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			low dose			15	day	UO	33
FP001RO_A42_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A42_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1577	30.79	ug	UO	23	8.6			2.05			labeling	567402			3	ug	UO	23	1577-biotin-labeled	biotin	CHEBI	15956	1.95			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22588bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6339			2006-07-04T00.00.00.0 UTC	d22588bm_1	transcriptome/d22588bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			15	day	UO	33
FP001RO_A44_S8	blood	FMA	83066	aliquoting	precooled PaxGene coated tube			store -20 degree C			FP001RO_A44_S8_Q1	mRNA extraction	0.5	ml	UO	98	0.5	ml	UO	98	1578	24.13	ug	UO	23	8.6			2.05			labeling	567402			3	ug	UO	23	1578-biotin-labeled	biotin	CHEBI	15956	1.97			hybridization	10	ug	UO	23	44404A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22589bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6341			2006-07-04T00.00.00.0 UTC	d22589bm_1	transcriptome/d22589bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Blood	transcriptome/FP001RO_Blood_RMA_DataMatrix.txt	ttest-anova	ANOVA_Blood	transcriptome/FP001RO_blood_tx_merged_final.txt	FP001RO			high dose			15	day	UO	33
FP001RO_A1_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A1_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1581	78.9114	ug	UO	23	8.2			2.08			labeling	567402			5	ug	UO	23	1581-biotin-labeled	biotin	CHEBI	15956	2.05			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22794-2bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6370			2006-11-02T00.00.00.0 UTC	d22794-2bm_1	transcriptome/d22794-2bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A3_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A3_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1582	70.2864	ug	UO	23	8			2.07			labeling	567402			5	ug	UO	23	1582-biotin-labeled	biotin	CHEBI	15956	2.06			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22795bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6271			2006-07-19T00.00.00.0 UTC	d22795bm_1	transcriptome/d22795bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A5_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A5_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1583	66.18	ug	UO	23	6.7			2.08			labeling	567402			5	ug	UO	23	1583-biotin-labeled	biotin	CHEBI	15956	2.07			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22796bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6319			2006-07-19T00.00.00.0 UTC	d22796bm_1	transcriptome/d22796bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	vehicle			no dose			2	day	UO	33
FP001RO_A7_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A7_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1584	71.2185	ug	UO	23	8.4			2.08			labeling	567402			5	ug	UO	23	1584-biotin-labeled	biotin	CHEBI	15956	2.03			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22797bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6291			2006-07-19T00.00.00.0 UTC	d22797bm_1	transcriptome/d22797bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A9_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A9_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1585	81.9579	ug	UO	23	7.4			2.07			labeling	567402			5	ug	UO	23	1585-biotin-labeled	biotin	CHEBI	15956	2.07			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22798bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6293			2006-07-19T00.00.00.0 UTC	d22798bm_1	transcriptome/d22798bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			low dose			2	day	UO	33
FP001RO_A11_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A11_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1586	63.6363	ug	UO	23	7.6			2.07			labeling	567402			5	ug	UO	23	1586-biotin-labeled	biotin	CHEBI	15956	2.04			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22799bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6298			2006-07-19T00.00.00.0 UTC	d22799bm_1	transcriptome/d22799bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A13_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A13_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1587	89.1216	ug	UO	23	8.4			2.07			labeling	567402			5	ug	UO	23	1587-biotin-labeled	biotin	CHEBI	15956	2.09			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22800bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6314			2006-07-19T00.00.00.0 UTC	d22800bm_1	transcriptome/d22800bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A15_S24	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A15_S24_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1588	73.6371	ug	UO	23	8.3			2.07			labeling	567402			5	ug	UO	23	1588-biotin-labeled	biotin	CHEBI	15956	2.06			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22801bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6311			2006-07-19T00.00.00.0 UTC	d22801bm_1	transcriptome/d22801bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			high dose			2	day	UO	33
FP001RO_A17_S25	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A17_S25_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1589	79.3347	ug	UO	23	7.6			2.07			labeling	567402			5	ug	UO	23	1589-biotin-labeled	biotin	CHEBI	15956	2.07			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22802bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6341			2006-07-19T00.00.00.0 UTC	d22802bm_1	transcriptome/d22802bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A19_S25	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A19_S25_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1590	67.9956	ug	UO	23	7.8			2.08			labeling	567402			5	ug	UO	23	1590-biotin-labeled	biotin	CHEBI	15956	2.04			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22803bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6323			2006-07-19T00.00.00.0 UTC	d22803bm_1	transcriptome/d22803bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	vehicle			no dose			4	day	UO	33
FP001RO_A21_S25	left kidney	FMA	7205	aliquoting	liquid nitrogen			store below -70 degree C			FP001RO_A21_S25_Q1	mRNA extraction	100	mg	UO	22		ml	UO	98	1591	93.159	ug	UO	23	7.7			2.06			labeling	567402			5	ug	UO	23	1591-biotin-labeled	biotin	CHEBI	15956	2.06			hybridization	10	ug	UO	23	47452A			2007-02-18T00.00.00.0 UTC			4018113			960	min	UO	31	d22804bm	RAE230A	A-AFFY-25	scanning	3000			1			30			6370			2006-07-19T00.00.00.0 UTC	d22804bm_1	transcriptome/d22804bm.CEL	MAS5 normalization	MAS5_all	transcriptome/FP001RO_AllData_MAS5.abs	RMA normalization	RMA_Left Kidney	transcriptome/FP001RO_Kidney_RMA_DataMatrix.txt	ttest-anova	ANOVA_Left Kidney	transcriptome/FP001RO_kidney_tx_merged_final.txt	FP001RO			low dose			4	day	UO	33
